sex,Age,Married,Number_children,education_level,total_members,gained_asset,durable_asset,save_asset,living_expenses,other_expenses,incoming_salary,incoming_own_farm,incoming_business,incoming_no_business,incoming_agricultural,farm_expenses,labor_primary,lasting_investment,no_lasting_investmen
1,35,1,3,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,36,1,4,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,29,1,2,9,4,50773999,25864822,23399979,12545373,93369606,0,0,0,1,72069163,70067244,0,81443433,7480513.0
1,25,1,0,10,2,30635769,10890452,23399979,22688441,22741825,1,0,0,0,23355746,8619383,1,14434489,8619383.0
1,42,1,5,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,25,0,2,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,54,1,0,7,2,17968733,18433691,23399979,56053796,14413833,0,0,1,1,42707653,3558971,0,38052008,3558971.0
0,68,0,2,15,4,88295702,22437101,39439004,25213609,10361081,0,1,0,0,23020486,29865050,0,14801482,14902588.316795057
0,29,1,6,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,49,0,3,7,6,30962566,26764221,16962879,16126439,24787914,0,0,0,0,26423353,39292907,0,42573258,44917927.03134465
1,20,1,2,9,4,53780685,23040754,34138428,17922614,25390031,0,0,0,0,27403844,48340961,0,75906757,87485715.0117256
1,44,1,0,1,2,29794589,85400143,22063684,21693530,26722543,0,0,0,0,29577310,13436124,0,85538986,23322127.67663347
1,36,0,3,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,36,1,8,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,27,1,3,9,5,22443761,50688647,23399979,262919,13853295,0,1,0,1,56053796,28427281,0,84102936,28867704.0
1,36,1,3,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,21,1,5,10,7,28912201,34433044,23399979,25624592,19138367,1,0,0,0,30028818,31363432,1,3683535,33603850.543647975
1,35,1,5,10,6,15134525,22861940,95873627,47712455,12652143,0,1,0,0,57722063,39760378,0,25230951,23995249.0
1,39,1,4,10,6,36522855,26185129,23399979,13346142,3843689,0,0,1,1,93422991,56832318,0,69434436,20953888.0
1,71,0,0,1,2,4250457,53390680,23399979,21419392,67713944,0,0,0,0,13483937,72141583,0,5181177,72623868.38924825
0,43,1,2,10,6,82606293,10563738,1601537,41373043,34913507,0,1,0,1,20286135,23911839,0,20019113,34688847.0
1,21,1,3,3,5,28912201,42921192,23399979,66730708,15454832,1,0,0,0,13346142,13791014,1,42921192,45821756.0
1,49,0,1,7,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,33,1,2,6,6,16373606,20964183,88014880,45983158,19857287,0,0,0,0,29031282,17017817,0,4890085,26302693.329552464
1,44,0,3,9,5,45870216,37377042,17933917,9305654,13232543,0,0,0,0,47316659,16973362,0,89798643,19294944.038725153
1,54,1,0,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,22,1,1,8,3,28912201,14934313,21278831,57218098,65387003,1,0,0,0,41730628,39490767,1,15026317,13995655.49525977
1,27,1,5,9,7,82606287,17456754,23399979,3203074,25464437,1,0,0,1,30028818,31363432,1,19083585,19859058.0
1,39,1,0,9,2,47245342,48046108,12444323,11744604,87283764,0,0,0,1,37369196,31140998,0,10987436,48357517.0
1,67,1,4,10,6,33042515,1016976,16015369,13346142,72069163,0,1,0,1,27759974,76517874,0,14675165,1765472.0
1,33,1,3,10,5,44584175,21768176,17465706,79388064,37024744,0,0,0,1,14643576,55417649,0,25852952,30431355.89745307
1,36,1,3,5,5,19733309,16128699,12897476,24194709,15966152,0,0,0,0,28723975,30406549,0,14703892,45909167.05267731
1,23,1,0,10,2,28912201,19992458,23399979,55197041,64326964,0,0,0,0,52348866,43106203,0,22012073,16213977.477120917
1,20,1,2,8,4,53694088,15294678,3203074,12011528,39237656,0,0,0,1,69666858,1601537,0,24988235,73670702.0
1,23,0,0,10,2,29809886,16050176,23399979,51450793,65314938,0,0,0,0,52611056,43842546,1,16538403,11050556.683114575
1,35,1,2,9,5,27865683,8688168,16920250,10414162,19748901,0,1,0,0,8995311,1926022,0,39420451,24032008.20766177
1,22,1,3,10,6,89500557,12331835,23399979,62459946,33472122,0,0,0,1,14680755,78764477,0,26887271,50797642.0
1,46,1,2,5,4,13248061,25991492,4766812,28312785,21601170,0,1,0,0,27129346,30285653,0,17424667,45553511.3591044
1,27,0,4,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,23,1,3,10,5,28347205,22861940,11432496,18551138,88084536,0,1,0,0,19218445,15459281,0,40164899,26136193.0
1,48,1,8,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,35,1,5,7,7,85598936,72154484,18558274,35967785,19189038,0,0,0,1,65783254,52056859,0,18353832,20507623.41158165
1,32,0,4,10,5,53010906,49167187,23399979,12678834,16816139,1,0,0,1,19044944,82601494,1,10329916,29466837.0
1,25,1,3,12,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,35,1,4,10,7,20739905,3843689,1242339,10143068,42120422,0,0,1,0,14947679,13457359,0,30980466,54897133.0
1,31,1,4,11,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,56,0,1,5,3,18703760,16389609,23399979,88235883,29212860,0,0,0,0,16799901,13999918,0,16842481,52203938.37434101
1,19,1,2,10,4,30635769,43241498,3203074,57388411,16335678,1,0,0,0,6406148,48046112,1,54953375,10730298.0
1,34,0,2,8,4,35185903,60071391,23399979,16945228,20654698,0,0,0,0,21103804,47895583,0,81490552,17321818.565011494
1,41,0,4,8,7,40653168,10313898,25624592,38703811,18289553,0,0,0,1,26692283,20241647,1,51687756,76815941.0
1,47,0,8,4,12,44750278,23975009,23399979,25357668,19378597,0,1,0,0,28026898,10343261,0,34327679,58389373.0
1,34,1,6,8,10,28157883,32351047,1601537,84748001,34465076,1,0,0,0,20019212,36368234,1,67876001,36948792.0
1,19,1,1,9,3,38415656,27386282,23399979,80076847,3411274,0,1,0,1,33365355,22799659,0,7421001,2630302.0
1,27,1,3,12,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,25,1,3,9,5,32891050,19171458,23399979,25589206,11620380,1,0,0,0,79019697,66959104,1,23303714,40671795.82851558
1,38,1,3,14,5,6474906,12091605,23399979,14814217,12732219,0,1,0,0,43775349,13791014,0,80524207,861271.0
1,30,1,6,8,8,28912201,17937215,23399979,66730708,1345291,1,0,0,1,51249185,72958905,1,18577829,39780399.0
1,21,1,2,10,3,2833024,29436249,23399979,65396094,10570145,0,0,0,1,40038424,44042268,0,65902295,22021133.0
1,67,1,0,8,3,25096085,24023054,43241119,10676913,49487492,1,0,0,0,10676913,88974275,1,33048987,79098129.0
1,22,1,2,10,4,89686073,22861940,49544693,24023058,33392048,1,0,0,0,24023056,79409537,1,10528009,79409542.0
1,29,1,3,9,5,28805922,91700558,10878053,3851624,6806854,0,0,0,0,14995377,37951319,0,45730394,40918307.93327323
0,21,1,2,10,4,28912201,39237656,23399979,20019212,43241501,1,0,0,1,18684598,28916639,1,42440731,57944496.0
1,26,1,4,10,7,19955151,12812296,56941502,26692283,3331197,0,0,1,1,30028818,43241501,0,54576819,58055717.0
1,28,1,2,8,4,12390944,25896854,23399979,80076847,8664315,0,1,0,1,16015369,77407622,0,34022559,94757605.0
1,21,1,1,9,3,82606287,10810374,23399979,40038424,23942978,1,0,0,0,36034582,3002882,1,12196976,13679795.0
1,23,1,4,9,6,45541229,12011527,23399979,13346142,16143494,0,1,0,0,20286135,46711493,0,58753912,88084536.0
1,80,0,0,1,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,29,0,6,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,47,1,0,5,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,21,1,2,8,4,41303144,8979818,23399979,14680755,61018558,1,0,0,1,56053796,18017291,1,10273695,1034326.0
1,22,1,2,10,4,41303144,18417676,23399979,28694205,28603451,1,0,0,0,30028818,31363432,1,18830707,33365354.0
1,50,0,1,6,6,30116298,25153594,19619727,20487384,26197483,0,0,0,0,27911472,36020096,0,36728226,38056036.15160267
1,62,1,3,9,5,17142671,45163342,23399979,73403783,23542593,0,0,1,1,3203074,28827665,0,70954309,14307064.0
1,58,1,3,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,25,1,2,9,4,28912201,13565018,23399979,12812296,15935293,1,0,0,0,40038425,50048029,1,14125555,14347103.0
1,24,1,2,10,4,19620555,21989104,23399979,24023056,11675204,1,0,0,1,10676913,55608921,1,42570581,13117477.0
1,17,1,2,4,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,31,0,4,9,6,83249947,18010838,25214522,5337324,24003296,0,0,0,0,29413168,31513924,0,18593183,19164879.44619115
1,36,0,6,12,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,39,0,3,7,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,58,0,2,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,37,1,4,8,7,19162796,18837117,2084781,11206431,20291082,0,0,0,0,12820951,9079844,0,41394263,49722094.22708592
1,40,0,3,8,5,14408131,17607564,18432932,14292967,11465342,0,0,0,0,23058113,20739358,0,10622457,19677300.15949591
1,80,0,0,1,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,22,1,1,14,3,28912201,17216522,23399979,69399939,70467629,0,0,0,0,26692283,21175876,0,17216522,21175876.0
1,24,1,2,10,5,1108353,12219727,1601537,38169963,37860336,0,1,0,0,21353827,37814063,0,23991919,48624439.0
1,56,0,1,1,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,32,1,3,9,5,1886281,22245349,96092224,26692283,26905821,0,0,0,0,37369196,24160964,0,46857678,13760317.0
1,27,1,4,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,28,1,4,8,6,30548518,18444802,23399979,49811102,5570962,1,0,0,0,62669918,70491463,1,20521368,40146989.47672679
1,27,1,2,16,4,54079840,38023735,23399979,15074666,40965270,0,0,0,0,19003033,89741255,1,42126834,9152174.014158694
1,41,1,5,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,29,0,4,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,31,1,4,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,52,1,1,8,4,10602181,64061478,23399979,26692283,22421517,0,1,0,0,30028818,31363432,0,1796925,57014718.0
1,32,0,2,6,4,28912201,87270179,31926127,11015171,24846825,0,0,0,1,10337952,6695780,0,89658896,47743589.13602435
1,29,1,2,9,5,47201609,24792509,27908855,15687656,24661113,0,0,0,0,26529926,46871268,0,68083165,77261164.25292093
1,36,1,5,9,7,20651573,22197302,12011527,22021134,44522728,0,1,0,1,1601537,12011528,0,31405316,20152674.0
1,48,1,4,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,52,1,5,10,8,11591046,13770072,18519770,12847549,6056315,0,0,0,0,17827249,14158879,0,11583869,20084346.766876977
1,69,0,0,4,2,14817009,38763081,33629991,15590255,58486667,0,0,0,0,11969898,80946996,0,19204536,75854895.21491489
1,34,1,3,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,25,1,4,9,6,73455906,42499255,23399979,2093673,19362733,0,0,0,1,33634370,40608437,0,15225023,6194153.47710029
1,19,1,3,9,5,19666875,81678391,14119073,33365355,39878273,0,0,1,0,33365355,16747183,0,11637148,10242941.0
1,26,0,3,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,24,1,4,5,6,13482702,19631613,23399979,53567502,46114876,0,0,0,0,19805214,69379228,0,36420923,62849972.988081165
1,32,0,4,9,6,20279086,10991644,23399979,13528203,17936118,0,0,0,0,28053708,38424490,0,14519530,11634848.520914655
0,42,0,0,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,45,1,7,8,10,5954797,19698904,23399979,11744605,33632278,0,0,1,1,64061481,69800324,0,33180927,11761955.0
1,36,1,6,11,10,22903920,30178297,6396913,35023055,84053688,0,0,0,0,68450422,32007435,0,34057156,68266758.50093675
1,49,0,2,4,5,16521257,17096408,25624592,24156517,21140289,0,1,0,1,54986105,13797686,0,19028802,41744507.0
1,39,0,6,9,7,99127548,33071738,44843035,34032662,39718117,1,0,0,0,3203074,95157995,1,51792944,34980236.0
1,18,1,1,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,48,1,7,4,9,59411945,26905823,23399979,93422985,5925687,0,1,0,0,20085943,87584057,0,9592699,23839546.0
1,31,0,1,8,3,46349110,16604597,23399979,62189563,21637807,0,0,0,0,20384939,49164050,0,11361042,3552385.171421413
1,39,1,4,8,6,12461698,30441883,26054761,12973057,10225927,0,0,0,0,84045877,97878017,0,36482948,7731014.746175125
0,34,0,1,9,3,41375334,21877838,23269411,66944667,11195985,0,0,0,0,26486552,22557102,0,22585130,55230789.101211265
1,24,1,2,10,5,19538751,32030739,79841393,1279895,21796919,0,0,1,1,79609737,31589205,0,9720744,63619942.0
1,49,0,2,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,30,0,3,9,7,16521257,37956427,23399979,18951522,46925034,0,1,0,0,90753765,72291598,0,40329245,86972351.0
1,31,1,4,10,6,26873792,4548365,18247798,19618828,22741825,1,0,0,0,52049952,58789754,1,48195786,52029934.0
1,28,1,2,10,4,16521257,26905823,23399979,64862247,16495831,1,0,0,0,39237657,14480563,1,38007016,14480563.0
0,37,0,0,12,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,52,0,3,9,5,41040863,43390987,19629581,17965247,18340588,0,0,0,0,57565004,7176013,0,74997087,16460005.812830772
0,51,1,0,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,43,1,6,6,9,28912201,32671356,23399979,66730708,22693779,0,0,1,1,18017291,41706693,0,65342712,19487035.0
1,30,1,2,10,4,49642514,20062648,16286191,75760660,30353667,0,0,0,0,11892561,50966791,0,19018494,16802855.550979327
1,55,0,1,9,3,15534909,22861940,88878059,15321371,8568223,0,1,0,0,25090747,52005467,0,64326874,60680461.0
0,18,0,0,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,24,0,3,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,53,0,3,1,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,34,0,5,7,6,16521257,14093526,23399979,27759975,15214602,0,0,0,0,3203074,10943837,0,20069801,54986105.0
0,40,0,0,13,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,24,1,4,6,6,28912201,12398274,16302849,66211147,64739503,1,0,0,0,14391761,27769830,1,12706111,20737444.375392057
1,30,0,3,8,5,3973955,19992159,96092224,27731631,26834551,0,0,0,0,43605288,23964972,0,44215631,13850591.925582638
1,28,1,3,6,5,26821059,68606457,19100348,13865354,15561795,0,0,0,0,28576058,38672208,0,81596489,25864256.749722306
1,43,0,3,10,4,17555701,14173602,16015369,26692283,30108896,1,0,0,0,21353827,55164056,1,33651147,31594767.0
1,23,1,2,10,4,26505453,48046108,23399979,26692283,12011527,0,0,0,0,30028818,31363432,0,76953865,18017291.0
1,17,1,3,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,66,0,0,1,5,27395417,20992785,23399979,26251028,32223777,0,0,0,0,27587209,30873149,0,30634125,24816847.163499855
1,45,0,4,1,8,20499673,24023056,12122749,89085493,18737984,0,1,0,1,89085493,18100704,0,2269969,58139133.0
1,74,1,4,1,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,35,1,5,7,8,85038600,77875908,16173587,33305531,16508391,0,0,0,1,70575310,49430909,0,19508881,18841899.790038433
1,33,0,5,7,8,24343363,64061481,45706718,52049952,17104416,0,1,0,1,52049952,56721103,0,2722613,59457064.0
1,23,1,2,10,4,16797653,25944901,23399979,53384566,25384361,1,0,0,0,30389163,65807593,1,49949469,25799203.0
1,57,1,5,9,9,25334981,39397809,23399979,3203074,24343363,0,1,0,0,325112,27092669,0,78826318,12318489.0
1,33,1,5,9,7,49428973,9645638,63236921,45155069,42391657,0,0,0,0,36576110,30480092,0,82501234,79486928.87791462
1,19,1,1,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,17,1,3,7,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,31,0,3,10,4,28912201,25464438,11210759,21754211,5123317,0,0,1,1,10276529,8563774,0,28675964,6759343.0
0,17,1,2,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,21,1,3,9,5,83646683,24583592,23399979,30696127,15695063,1,0,0,0,42707653,3558971,1,37993103,3558971.0
1,37,1,2,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,61,0,0,1,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,25,1,4,9,6,69440380,53488832,23399979,1606827,16685080,0,0,0,1,35216621,44665488,0,13531743,197487.27549601346
1,26,1,2,5,4,19234846,14684047,25920878,39803060,53821462,0,0,0,0,17667188,65673361,0,32198666,80729200.36006832
1,38,0,8,14,10,84329857,20980135,80076851,44576116,17072384,0,0,1,1,11531066,69399935,0,34377887,16805461.0
1,26,0,4,10,6,10602181,18337599,23399979,25357668,13773218,0,1,0,0,62726865,26581063,0,29580396,54741421.0
1,26,1,8,10,10,34285342,18017291,1601537,73136854,40198578,0,1,0,1,27626514,11377585,0,5822832,17270241.0
1,25,1,1,9,3,15534909,22861940,14305158,32030737,96892986,1,0,0,0,3203074,80076851,1,15534909,36034581.0
1,53,1,4,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,70,0,0,3,2,11216794,43925732,30263723,17311138,61638601,0,0,0,0,12422762,78135466,0,14355559,74718962.32307962
1,47,1,2,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,23,1,3,6,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,30,1,3,1,5,37172832,19298521,23399979,33365354,17616907,1,0,0,0,62993789,1726101,1,23015805,21745314.0
1,39,0,0,7,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,35,1,6,10,8,75386055,14654063,23399979,16522522,51329262,0,1,0,0,36034584,84525566,0,22993437,30980844.0
1,26,1,2,10,4,35304966,22861940,40274133,82096376,85585945,0,0,0,0,63638785,32105885,0,3142120,47750223.58472625
1,41,1,6,10,8,86736603,13677126,23399979,41373043,16623955,1,0,0,0,14914313,20603106,1,31463531,1770199.0
1,30,1,3,10,5,28912201,18577829,23399979,61392255,21300442,1,0,0,0,56320715,27114911,1,19378598,43130283.0
1,30,1,3,10,5,20516390,28337808,29312528,3026758,23638225,0,0,0,1,57688398,60861652,0,46548287,72978506.54987639
1,73,0,0,1,1,12251758,22861940,36786354,16682677,45643806,0,1,0,0,16682677,13902231,0,14877454,13902231.0
1,22,1,1,9,3,42060715,74647046,45582065,14614039,92585446,0,0,0,0,27025859,65196770,0,16749372,58003450.82900173
1,39,0,4,7,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,31,1,1,7,3,26069407,14589752,20964052,24061024,374303,0,0,0,0,16039312,31855043,0,10821990,34919686.296840765
1,49,1,1,4,4,14791440,22861940,4742361,28314912,22403320,0,0,0,0,27710775,29663536,0,18290524,39227118.30261943
1,28,0,3,9,5,17132714,45995515,23399979,26563981,21993438,0,0,0,0,25695158,36205651,0,21769876,76404454.72194842
1,36,1,6,14,8,30829587,52850719,14572653,10143068,56053795,0,1,0,0,10143067,48490982,0,3541507,59568275.0
1,31,1,2,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,22,1,4,8,6,5714122,29628435,23399979,72069162,19378597,1,0,0,1,24356709,20297256,1,86769653,83708115.0
1,33,1,8,10,10,22925111,16896216,23399979,14814218,17200508,0,1,0,0,10837068,16829485,0,46627859,25664631.0
1,31,1,4,9,6,42236978,19859059,23399979,70734549,14253679,1,0,0,0,48046112,13746526,1,67861572,13065872.0
1,25,1,4,10,6,9594969,55608294,38391288,13346142,58004936,0,0,0,0,9001219,62417103,0,66618631,58860563.32240976
1,18,1,2,10,3,28912201,14894295,23399979,76073008,20499674,1,0,0,0,30028818,31363432,1,18577829,33603850.543647975
0,40,1,4,7,6,17150531,29061370,2598436,14558384,6496964,0,0,0,0,13695998,9403704,0,44273834,45046748.81943367
1,47,0,2,6,3,28912201,85365197,27895035,18448500,18292348,0,0,0,0,18048823,14120558,0,89686073,52942455.35457928
1,49,0,1,14,2,82606287,17616907,19218445,24690363,19762967,0,1,0,1,33365355,7051211,0,19243738,29265865.0
1,29,0,4,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,49,0,3,9,6,58939934,53168373,23399979,48292672,21968391,0,0,0,0,69091210,6702552,0,61039663,23409217.778578095
1,40,0,1,8,3,45433456,25784744,23399979,50715337,36995506,0,1,0,1,43775349,89864028,0,30968704,54115045.0
1,23,0,3,7,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,23,1,1,8,3,78759839,31229971,11210759,86749923,13613065,0,1,0,0,71401858,59501547,0,83244141,11270261.0
0,22,0,2,3,4,30398134,40403314,23399979,66730708,14907467,0,0,0,0,14946623,14804652,0,40479733,46995441.876907475
1,49,1,1,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,30,1,3,7,5,56412399,25099111,23399979,71181280,14610218,0,1,0,0,17305728,68443352,0,8551582,8640544.329826692
1,23,0,3,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,33,1,4,14,6,13355217,40038424,13521281,41106119,96092224,0,1,0,1,34166121,28943331,0,31190913,33614483.0
1,31,1,4,11,6,21780904,22861940,27121646,49914566,12331835,0,0,1,1,66730709,26380873,0,61427197,40661244.0
1,30,1,5,7,7,7173890,28321892,23399979,66819709,34648737,0,0,0,1,21343146,79001894,0,42230227,37808896.99404783
1,18,1,3,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,24,1,3,5,5,28912201,96092216,6406148,20019212,96092224,1,0,0,0,93422991,27804461,1,96092216,88863058.0
1,24,1,2,11,4,84060925,33872507,32030739,26692283,13773218,0,0,0,0,21353827,65173659,0,12337865,58300392.0
1,24,0,2,10,4,11918305,34829259,65871927,12274880,18333023,0,0,0,0,29421033,85595483,0,26821872,64325522.00560699
0,34,0,3,12,4,23482069,14890427,23399979,18539665,11779834,1,0,0,0,56907597,65958399,1,18384910,47656504.87297875
1,36,1,4,14,6,20651573,17136446,23399979,2175421,14109541,1,0,0,0,1601537,93422994,1,26088211,36034584.0
0,28,1,1,10,3,41303144,41800116,23399979,20286135,36354889,0,1,0,1,72069163,17149794,0,423733,20352867.0
0,36,0,1,11,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,51,0,0,7,1,16521257,7959639,80076847,12678834,59256868,1,0,0,0,21353827,21264853,1,1028441,14138012.0
1,50,0,0,6,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,68,0,1,4,4,38701113,16453150,23114189,15710207,58327662,0,1,0,0,24061854,24227368,0,50828031,25703149.692467414
1,21,1,3,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,29,1,3,9,5,16521257,16736061,23399979,20286135,84881458,1,0,0,0,3203074,26692282,1,29839178,10943836.0
1,29,1,2,11,4,82606287,10890452,23399979,40038424,31181925,0,0,1,1,36034582,18706841,0,13157898,1724544.0
0,34,0,1,9,3,41303144,21925041,23399979,66730708,10890451,0,0,0,0,26692283,22243569,0,22562288,55608922.0
1,34,1,4,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,25,0,2,8,4,30051325,21708612,13006603,21026315,88084536,0,0,0,0,19113118,17200097,0,36958528,25709034.728275
1,80,0,0,6,1,64767111,34677279,23399979,54480494,52132190,0,0,0,0,52758321,43652144,0,15317763,43652144.232148826
1,35,1,4,10,6,24781887,32751431,16015369,16533201,88645073,0,0,1,1,42707653,67620449,0,41555692,24839394.0
1,28,1,7,10,9,28912201,34272891,96092224,39371116,43401653,0,0,1,1,42707653,7529448,0,42609338,71590927.0
1,32,1,2,9,4,10016794,26985898,23399979,28026898,26905821,0,1,0,0,77607818,47951574,0,42447919,20850567.0
1,22,1,3,9,5,5714122,19570782,23399979,30028818,81678391,0,0,0,0,98761451,49603158,0,30441852,26180682.0
1,40,1,3,19,5,52254071,14654063,23399979,26692283,23702747,0,1,0,0,85415306,3247561,0,70031134,27924576.0
1,34,0,1,9,3,41303144,38885318,23399979,31363434,14894294,1,0,0,0,93422985,77852494,1,53391876,77852494.0
1,55,0,1,9,4,16570609,20643554,23399979,19320563,15908965,0,0,0,0,29679037,45863542,0,20795927,95116618.55560258
1,21,0,3,10,4,20819981,22861940,23097595,44843035,12283789,0,1,0,1,30429204,48166225,0,56985034,48166222.0
1,38,1,3,10,5,27245912,20637835,19885513,57549554,64050575,0,0,0,0,51718569,40590726,0,22638384,35262507.08045167
0,27,1,3,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,32,1,3,8,5,20726567,90810103,15022354,16499887,7300446,0,0,0,0,26816710,38017262,0,30277099,53591469.87538331
1,27,1,2,5,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
